Architecture,FilesModified,NewFiles,LinesAddedInNewFiles,LinesChangedInExistingFiles,CoreLogicChanged
Shared (common),1,1,61,1,N/A
Monolith,3,0,0,31,Yes
Hexagonal,2,1,35,2,No
Messaging,3,1,45,6,No
